id,cluster_label,income_amount,total_expenses,spending_ratio,top_category_amount,num_transactions,balance,daily_burn_rate,days_remaining,savings_goal_progress,risk_label,projected_days_left,sustainability_label,cat_food,cat_transport,cat_shopping,cat_utilities,cat_health,cat_entertainment,cat_savings,cat_education,cat_other
85,Savers,27474.22,4964.59,0.1807,1393.08,12,22509.63,2482.3,28,0.1223,risky,9.07,critical,1393.08,515.9,159.56,1218.57,525.71,45.36,615.38,332.75,158.28
357,At-Risk,27019.61,25982.06,0.9616,8697.79,25,1037.55,1367.48,11,1.0092,risky,0.76,critical,4965.5,3428.5,8697.79,1989.21,807.12,6340.59,228.11,242.92,0
11,Savers,28257.2,6852.37,0.2425,1829.33,3,21404.83,3426.18,28,0.7712,risky,6.25,critical,1829.33,640.86,216.35,1560.77,611.26,61.09,912.83,454.12,565.76
163,Balanced,58740.96,37647.08,0.6409,8910.54,20,21093.88,1711.23,8,1.499,caution,12.33,on_track,8910.54,4250.52,5533.97,6141.7,3067.61,3151.58,3165.99,2130.88,1294.29
335,At-Risk,31518.08,30323.54,0.9621,10068.07,26,1194.54,30323.54,30,0.759,risky,0.04,critical,6281.45,3351.54,10068.07,2143.96,791.45,7550.33,287.98,247.12,0
216,Impulsive,65698.36,48537.95,0.7388,14546.08,21,17160.41,2554.63,11,0.3335,risky,6.72,critical,7864.92,5643.82,14546.08,4668.57,2656.71,8022.52,1504.5,1162.87,2467.96
300,Impulsive,73843.46,65838.83,0.8916,16261.93,18,8004.63,2532.26,4,0.7975,risky,3.16,at_risk,14717.61,6660.31,16261.93,7200.93,3732.35,12405.3,1641.71,1167.14,2051.55
366,At-Risk,9622.03,9488.28,0.9861,3905.5,35,133.75,1054.25,21,1.3608,risky,0.13,critical,1723.68,1155.25,3905.5,728.22,254.25,2396.53,78.64,103.82,0
355,At-Risk,14897.71,17023.61,1.1427,6567.16,37,-2125.9,773.8,8,1.0584,risky,-2.75,critical,3238.62,1771.22,6567.16,1143.39,470.13,3169.92,187.0,187.43,288.74
283,Impulsive,8316.45,6269.77,0.7539,2039.26,29,2046.68,391.86,14,1.2813,risky,5.22,critical,1330.7,600.76,2039.26,724.21,348.72,1176.13,221.1,137.83,0
159,Balanced,17117.95,8386.08,0.4899,2119.76,18,8731.87,1198.01,23,1.378,risky,7.29,critical,2119.76,885.27,1568.05,1313.92,694.23,551.32,954.51,438.99,0
210,Impulsive,47494.6,33892.15,0.7136,9790.1,27,13602.45,1355.69,5,0.7864,safe,10.03,on_track,7899.4,3411.59,9790.1,3218.28,1393.78,6062.67,1135.32,560.07,420.94
318,At-Risk,24823.48,23267.05,0.9373,9726.41,22,1556.43,3323.86,23,0.2011,risky,0.47,critical,3394.34,2909.99,9726.41,1701.89,724.92,5358.2,207.63,188.56,0
24,Savers,25142.81,9353.13,0.372,2366.42,7,15789.68,334.04,2,0.0025,caution,47.27,on_track,2366.42,910.83,267.71,2245.8,865.6,96.4,1462.57,751.67,386.13
59,Savers,40851.21,4297.55,0.1052,1496.17,7,36553.66,286.5,15,0.2988,safe,127.59,on_track,1496.17,460.29,136.09,816.11,419.74,41.67,604.81,355.85,0
72,Savers,16724.32,5639.44,0.3372,1847.22,4,11084.88,208.87,3,1.1169,safe,53.07,on_track,1847.22,521.66,167.44,1147.64,508.65,47.17,999.4,484.87,0
4,Savers,11421.27,3973.46,0.3479,1169.82,5,7447.81,331.12,18,0.2451,caution,22.49,on_track,1169.82,450.45,127.96,756.2,374.34,32.92,636.59,343.54,81.64
219,Impulsive,46066.93,36927.25,0.8016,13259.9,20,9139.68,7385.45,25,0.4989,risky,1.24,critical,6353.79,4412.35,13259.9,4272.99,2205.77,6228.6,949.72,845.6,0
71,Savers,13591.14,2469.51,0.1817,755.18,11,11121.63,411.59,24,0.6451,caution,27.02,on_track,755.18,229.68,62.21,650.78,249.97,26.69,363.57,205.89,0
245,Impulsive,17685.46,14611.73,0.8262,4214.17,30,3073.73,1217.64,18,1.4717,risky,2.52,critical,2972.7,1685.26,4214.17,1556.64,681.22,2471.68,402.16,344.87,283.03
282,Impulsive,21814.36,16218.98,0.7435,5400.42,25,5595.38,1013.69,14,0.8575,risky,5.52,critical,3257.35,1348.39,5400.42,1695.64,799.19,2857.44,575.44,372.16,0
247,Impulsive,75730.62,59819.62,0.7899,14671.49,15,15911.0,6646.62,21,1.0055,risky,2.39,critical,11703.38,5246.21,14671.49,6015.21,3527.22,12482.94,1555.83,1414.75,3202.59
32,Savers,53191.93,14553.31,0.2736,4988.99,9,38638.62,1212.78,18,0.8192,safe,31.86,on_track,4988.99,1609.94,498.33,3048.53,1167.7,171.93,2053.55,1282.31,0
345,At-Risk,8870.45,8469.51,0.9548,3331.71,26,400.94,1058.69,22,0.4496,risky,0.38,critical,1680.0,1081.75,3331.71,581.71,232.89,2054.9,88.61,82.9,0
341,At-Risk,44940.37,53771.15,1.1965,16998.53,35,-8830.78,1854.18,1,0.1693,risky,-4.76,critical,11210.77,5635.27,16998.53,4392.21,1503.65,11183.51,615.31,500.02,1731.88
186,Balanced,58615.35,25140.12,0.4289,5817.51,20,33475.23,3142.51,22,1.0571,risky,10.65,critical,5817.51,2132.62,4268.71,4178.8,1972.53,1734.01,2868.47,1051.07,1116.4
334,At-Risk,32594.42,39002.48,1.1966,12452.1,39,-6408.06,1500.1,4,1.1273,risky,-4.27,critical,8339.2,5585.69,12452.1,2868.33,1330.33,6971.43,401.1,372.8,681.5
326,At-Risk,9834.57,11836.89,1.2036,4777.11,27,-2002.32,11836.89,29,0.9296,risky,-0.17,critical,1709.41,1470.92,4777.11,820.53,342.34,2331.08,98.45,123.11,163.94
2,Savers,66068.48,14944.69,0.2262,5145.7,9,51123.79,574.8,4,0.5159,safe,88.94,on_track,5145.7,1649.18,495.59,2840.24,1448.21,125.67,2042.52,1059.43,138.15
165,Balanced,20248.96,11477.11,0.5668,2980.44,9,8771.85,459.08,5,1.1785,safe,19.11,on_track,2980.44,995.47,2461.7,1578.77,944.88,948.78,1154.33,665.71,0
350,At-Risk,27930.05,30150.49,1.0795,10840.34,28,-2220.44,2010.03,15,0.785,risky,-1.1,critical,6465.25,3058.22,10840.34,2094.94,973.44,7176.71,258.34,329.4,0
316,At-Risk,18156.09,18764.32,1.0335,6433.98,36,-608.23,18764.32,30,1.4935,risky,-0.03,critical,3519.93,2389.05,6433.98,1356.08,604.37,3520.11,165.3,160.48,615.02
356,At-Risk,40989.88,44269.07,1.08,17336.8,31,-3279.19,22134.53,28,1.3771,risky,-0.15,critical,7295.23,4920.64,17336.8,3136.34,1570.24,9279.52,371.39,448.23,0
135,Balanced,59218.23,27198.93,0.4593,7198.76,17,32019.3,971.39,2,0.2822,safe,32.96,on_track,7198.76,3179.26,5575.61,3414.77,2371.39,1668.21,2467.99,1454.42,0
156,Balanced,27991.71,18418.55,0.658,5416.3,19,9573.16,1227.9,15,0.4504,risky,7.8,critical,5416.3,1577.86,3065.88,2713.42,1300.71,1280.49,1824.29,898.15,341.45
236,Impulsive,24293.19,19563.31,0.8053,6077.49,16,4729.88,1630.28,18,1.2582,risky,2.9,critical,4440.82,1917.6,6077.49,2080.33,1156.66,3904.73,501.13,391.08,0
137,Balanced,16569.69,7666.8,0.4627,1750.38,19,8902.89,547.63,16,0.4804,risky,16.26,at_risk,1750.38,756.33,1462.12,1061.89,578.91,618.85,756.25,429.77,252.3
332,At-Risk,9231.09,9805.26,1.0622,3686.94,30,-574.17,9805.26,30,1.3742,risky,-0.06,critical,1416.29,1282.24,3686.94,718.21,238.75,2020.27,85.33,91.41,265.82
107,Balanced,8324.89,5741.68,0.6897,1300.29,12,2583.21,410.12,16,1.211,risky,6.3,critical,1300.29,507.75,1063.32,901.94,373.03,464.46,584.64,303.38,242.87
77,Savers,66609.06,12182.8,0.1829,3090.27,12,54426.26,435.1,2,0.4521,safe,125.09,on_track,3090.27,1184.13,299.03,2447.84,1305.26,116.72,1817.65,1039.78,882.12
313,At-Risk,33371.39,31145.52,0.9333,9728.73,25,2225.87,1354.15,7,0.687,risky,1.64,critical,5941.24,4449.99,9728.73,1831.01,865.39,6525.04,357.15,315.39,1131.58
310,At-Risk,25031.06,26250.07,1.0487,9640.22,22,-1219.01,1009.62,4,0.3646,risky,-1.21,critical,5297.3,3684.52,9640.22,1641.62,845.89,5637.49,226.38,286.49,0
192,Balanced,25157.79,12110.96,0.4814,3507.05,9,13046.83,550.5,8,0.3998,safe,23.7,on_track,3507.05,1346.03,1795.07,2173.82,980.28,938.26,1453.12,720.36,0
151,Balanced,59266.99,30261.73,0.5106,6660.16,11,29005.26,1592.72,11,1.2247,caution,18.21,on_track,6660.16,2801.25,6459.35,5390.33,2218.98,2283.51,3015.29,1559.01,0
384,At-Risk,8437.46,8541.24,1.0123,3437.84,31,-103.78,533.83,14,0.967,risky,-0.19,critical,1535.17,1077.13,3437.84,548.42,304.37,1894.62,86.83,72.84,0
278,Impulsive,8047.28,5993.61,0.7448,1879.2,30,2053.67,374.6,14,1.0511,risky,5.48,critical,1115.02,611.0,1879.2,536.34,296.25,975.15,187.94,113.44,279.27
131,Balanced,15227.61,7482.85,0.4914,2198.02,11,7744.76,277.14,3,0.0504,caution,27.95,on_track,2198.02,815.64,1138.33,1261.37,579.29,579.54,863.15,301.66,0
175,Balanced,34207.09,15423.98,0.4509,3961.46,12,18783.11,670.61,7,0.0907,caution,28.01,on_track,3961.46,1459.36,2979.48,2556.73,1458.22,1196.44,1244.22,637.79,0
45,Savers,65129.07,23290.16,0.3576,7234.46,7,41838.91,2911.27,22,0.3598,risky,14.37,critical,7234.46,2262.71,772.14,5264.49,1919.32,244.59,4136.48,1564.53,0
105,Balanced,71355.05,33515.47,0.4697,8153.03,13,37839.58,2578.11,17,1.2689,risky,14.68,at_risk,8153.03,3902.16,4959.95,4271.54,2309.1,2031.39,3113.8,1816.09,2958.41
333,At-Risk,10582.61,11422.87,1.0794,4057.12,30,-840.26,951.91,18,0.3124,risky,-0.88,critical,2378.56,1526.45,4057.12,772.08,375.94,2347.28,129.54,105.06,0
223,Impulsive,36363.37,28050.7,0.7714,6805.93,16,8312.67,2805.07,20,0.993,risky,2.96,critical,4962.03,2382.25,6805.93,3041.94,1566.42,5058.48,799.51,592.5,2841.64
311,At-Risk,78241.51,96620.44,1.2349,36438.6,36,-18378.93,19324.09,25,0.7245,risky,-0.95,critical,14008.88,11362.85,36438.6,5472.29,2561.23,17951.35,980.89,851.73,6992.62
308,At-Risk,38812.24,39421.59,1.0157,14063.31,26,-609.35,2815.83,16,0.857,risky,-0.22,critical,7792.18,4538.58,14063.31,2687.2,1276.25,7849.04,435.53,391.21,388.29
123,Balanced,19580.07,11714.76,0.5983,2359.45,14,7865.31,901.14,17,0.6013,risky,8.73,critical,2359.45,1095.15,1935.77,1879.8,822.16,856.43,1236.48,563.59,965.93
288,Impulsive,30164.05,25781.21,0.8547,8916.68,17,4382.84,1611.33,14,0.7749,risky,2.72,critical,4513.92,2320.2,8916.68,2799.78,1364.34,4523.87,875.04,458.0,9.38
119,Balanced,9385.45,4861.66,0.518,1205.24,11,4523.79,173.63,2,0.7966,safe,26.05,on_track,1205.24,428.23,888.6,855.56,419.45,290.94,508.66,251.53,13.45
108,Balanced,41651.24,16922.9,0.4063,4128.52,14,24728.34,676.92,5,0.7725,safe,36.53,on_track,4128.52,1681.63,2685.49,2646.74,1252.34,1288.07,1850.82,968.25,421.04
363,At-Risk,10160.51,9488.9,0.9339,3297.29,40,671.61,351.44,3,1.28,risky,1.91,critical,1925.24,1336.82,3297.29,626.74,305.37,2143.71,91.12,99.91,0
157,Balanced,8090.34,3914.92,0.4839,1096.2,20,4175.42,230.29,13,0.2796,caution,18.13,on_track,1096.2,458.82,772.47,590.99,319.7,255.52,379.96,192.77,0
177,Balanced,71223.06,46387.58,0.6513,9584.21,17,24835.48,1656.7,2,1.1125,safe,14.99,on_track,9584.21,5007.4,9117.8,7922.45,3054.76,2709.68,4517.19,2276.12,2197.97
279,Impulsive,27380.94,21168.2,0.7731,7567.9,21,6212.74,846.73,5,1.1078,caution,7.34,on_track,4354.57,2382.85,7567.9,2303.79,1187.15,4093.78,649.1,483.7,0
222,Impulsive,63346.76,43487.55,0.6865,12816.27,30,19859.21,2415.98,12,0.2473,risky,8.22,critical,10257.72,4390.71,12816.27,4233.37,2336.83,7891.28,1113.52,1042.36,0
347,At-Risk,24316.38,23375.34,0.9613,8476.43,24,941.04,1016.32,7,1.265,risky,0.93,critical,4092.64,3042.65,8476.43,1574.77,683.08,5400.14,206.75,203.22,0
96,Savers,54635.56,12713.69,0.2327,3293.32,7,41921.87,977.98,17,1.2231,safe,42.87,on_track,3257.02,1381.24,440.27,3293.32,1035.9,117.76,1679.42,1135.53,373.23
164,Balanced,40993.49,25768.51,0.6286,7383.43,14,15224.98,1073.69,6,1.1773,safe,14.18,on_track,7383.43,2182.48,5216.99,3416.72,2257.41,1940.26,2949.0,1345.25,0
280,Impulsive,51307.7,37634.2,0.7335,12868.14,27,13673.5,1447.47,4,0.0901,caution,9.45,on_track,9018.85,4095.44,12868.14,4192.95,1731.2,6820.24,1157.09,773.11,0
37,Savers,72574.75,19805.65,0.2729,6589.29,8,52769.1,733.54,3,0.5118,safe,71.94,on_track,6589.29,2258.08,557.85,4532.25,1680.35,192.38,3545.82,1763.58,0
28,Savers,13219.83,2256.62,0.1707,771.69,3,10963.21,2256.62,29,1.1551,risky,4.86,critical,771.69,187.1,67.55,479.47,237.38,20.26,297.12,194.71,1.34
69,Savers,9432.97,3122.31,0.331,755.27,12,6310.66,120.09,4,0.3323,safe,52.55,on_track,755.27,282.93,91.73,584.36,302.36,29.5,395.97,206.18,474.01
171,Balanced,10782.39,7135.79,0.6618,1728.51,10,3646.6,419.75,13,1.1297,risky,8.69,critical,1728.51,608.59,1063.94,1020.31,623.56,420.07,660.3,411.16,599.35
82,Savers,48941.54,17614.06,0.3599,6312.59,12,31327.48,629.07,2,0.1113,caution,49.8,on_track,6312.59,1636.85,556.19,4605.12,1631.86,197.02,2578.45,1391.61,0
343,At-Risk,61848.59,59022.11,0.9543,18246.88,25,2826.48,7377.76,22,1.1091,risky,0.38,critical,8779.91,6887.59,18246.88,4925.14,1818.27,13992.8,552.97,636.05,3182.5
327,At-Risk,75682.91,71754.97,0.9481,23597.54,23,3927.94,4484.69,14,0.242,risky,0.88,critical,10617.2,7000.18,23597.54,5179.75,2241.58,13546.83,669.08,599.21,8303.6
339,At-Risk,29889.0,28260.05,0.9455,10051.56,32,1628.95,1177.5,6,1.3369,risky,1.38,critical,5884.92,2752.29,10051.56,2297.32,695.35,5099.92,269.44,235.82,973.43
364,At-Risk,23965.48,25966.6,1.0835,7912.71,31,-2001.12,1854.76,16,0.9492,risky,-1.08,critical,4950.3,2971.61,7912.71,1593.0,840.03,4660.0,300.84,273.23,2464.88
39,Savers,62441.49,22241.66,0.3562,5569.3,5,40199.83,1588.69,16,1.1967,caution,25.3,on_track,5569.3,2563.69,541.46,4391.84,2192.77,253.64,3483.49,1693.21,1552.26
136,Balanced,73383.33,41175.39,0.5611,11815.17,15,32207.94,41175.39,30,0.9066,risky,0.78,critical,11815.17,3842.43,8766.46,4978.93,3870.04,3415.01,3487.25,2470.17,0
138,Balanced,16336.34,8537.37,0.5226,1896.38,14,7798.97,776.12,19,0.749,risky,10.05,critical,1896.38,732.82,1389.68,1503.31,704.61,577.91,735.04,397.82,599.8
315,At-Risk,52917.64,60357.86,1.1406,19267.87,39,-7440.22,30178.93,28,0.3411,risky,-0.25,critical,11103.17,8393.63,19267.87,4490.27,1512.18,11428.78,575.14,714.78,2872.04
86,Savers,21250.72,4086.51,0.1923,1305.46,11,17164.21,151.35,3,0.6351,safe,113.41,on_track,1305.46,348.0,114.18,974.13,340.77,34.78,627.42,345.69,0
153,Balanced,48786.58,21144.1,0.4334,4763.09,19,27642.48,1321.51,14,1.1861,caution,20.92,on_track,4763.09,1821.9,3688.91,3015.56,1657.07,1538.07,2183.97,1071.74,1403.79
65,Savers,53278.37,9925.76,0.1863,2548.67,11,43352.61,620.36,14,1.0899,safe,69.88,on_track,2548.67,1169.76,254.38,2012.79,989.65,97.42,1248.97,917.06,687.06
141,Balanced,36298.9,19978.91,0.5504,4029.2,10,16319.99,768.42,4,0.7866,safe,21.24,on_track,4029.2,2175.46,3647.61,2741.13,1599.73,1509.21,1942.41,1174.64,1159.52
133,Balanced,25842.85,17560.22,0.6795,4427.37,16,8282.63,1254.3,16,0.5166,risky,6.6,critical,4427.37,1695.31,2876.56,2693.79,1456.33,1344.87,1527.83,940.79,597.37
27,Savers,48836.92,12409.46,0.2541,4407.59,6,36427.46,1551.18,22,1.2098,risky,23.48,at_risk,4407.59,1358.07,311.73,2903.55,1133.62,146.53,1983.42,1040.12,0
227,Impulsive,26169.5,19033.08,0.7273,6514.45,15,7136.42,9516.54,28,0.9708,risky,0.75,critical,4376.3,2037.88,6514.45,1846.97,805.44,3234.4,651.22,440.09,0
178,Balanced,14074.99,8656.12,0.615,1873.04,12,5418.87,1442.69,24,1.1571,risky,3.76,critical,1873.04,1022.47,1572.44,1445.39,753.64,525.21,736.44,481.47,246.02
190,Balanced,9530.92,4933.2,0.5176,1434.72,16,4597.72,352.37,16,0.4197,risky,13.05,at_risk,1434.72,448.92,868.8,635.98,412.67,361.48,522.38,246.55,1.7
360,At-Risk,49152.21,56928.09,1.1582,22162.24,25,-7775.88,3795.21,15,1.4691,risky,-2.05,critical,9252.42,5635.57,22162.24,3807.38,2046.65,11408.46,514.23,640.51,1460.63
104,Balanced,77221.91,32101.15,0.4157,8721.67,15,45120.76,4012.64,22,0.1925,risky,11.24,critical,8721.67,3182.72,5572.03,4640.74,2645.03,1910.31,2975.17,1331.66,1121.82
13,Savers,8242.45,2626.87,0.3187,664.89,11,5615.58,101.03,4,1.4989,safe,55.58,on_track,664.89,230.28,90.61,586.3,224.88,21.81,344.14,207.01,256.95
115,Balanced,69863.23,42847.12,0.6133,9300.02,9,27016.11,1862.92,7,0.4705,safe,14.5,on_track,9300.02,4505.85,8081.87,7304.15,2944.83,3216.12,3481.88,2526.44,1485.96
42,Savers,78821.06,23070.92,0.2927,7581.86,8,55750.14,961.29,6,1.062,safe,58.0,on_track,7581.86,2100.84,784.22,5257.49,2547.22,211.91,3594.62,2200.42,0
374,At-Risk,39776.28,44589.21,1.121,14520.86,35,-4812.93,1592.47,2,0.2174,risky,-3.02,critical,8921.69,5859.55,14520.86,3583.05,1271.08,8232.49,396.07,440.72,1363.7
285,Impulsive,30417.23,22530.04,0.7407,6027.3,26,7887.19,11265.02,28,1.2964,risky,0.7,critical,4307.47,2201.78,6027.3,1916.33,1138.55,4440.82,586.85,366.82,1544.12
49,Savers,45860.31,10281.88,0.2242,3697.71,5,35578.43,541.15,11,0.7432,safe,65.75,on_track,3697.71,1001.82,286.38,2546.34,1221.1,86.56,1523.78,792.4,0
172,Balanced,18774.19,10810.18,0.5758,2770.96,15,7964.01,5405.09,28,1.3449,risky,1.47,critical,2770.96,1128.72,1684.4,1525.01,765.55,831.86,1262.58,565.61,275.49
238,Impulsive,27774.44,20900.27,0.7525,5362.62,21,6874.17,908.71,7,1.0716,risky,7.56,at_risk,4689.68,2413.09,5362.62,2100.31,1188.42,3916.33,639.0,386.89,203.93
397,At-Risk,48088.7,57211.13,1.1897,21136.8,30,-9122.43,28605.56,28,1.2675,risky,-0.32,critical,9439.83,6024.51,21136.8,4209.87,1898.05,10455.95,594.71,495.94,2955.47
211,Impulsive,56694.76,42872.58,0.7562,11572.97,18,13822.18,5359.07,22,0.5587,risky,2.58,critical,9730.28,5004.14,11572.97,4638.19,1949.83,7582.63,1452.61,859.21,82.72
331,At-Risk,8472.83,9217.59,1.0879,2848.48,40,-744.76,400.76,7,0.3816,risky,-1.86,critical,1816.77,1068.34,2848.48,527.93,259.9,2121.4,103.46,81.57,389.74
376,At-Risk,20977.68,23851.62,1.137,8720.48,26,-2873.94,2168.33,19,0.6942,risky,-1.33,critical,4530.28,3400.44,8720.48,1906.7,597.19,4554.57,272.57,237.49,0
393,At-Risk,15729.08,19637.76,1.2485,8064.08,34,-3908.68,2805.39,23,1.3723,risky,-1.39,critical,3302.09,2239.43,8064.08,1103.35,621.84,4477.01,178.57,170.84,0
291,Impulsive,28564.21,23959.66,0.8388,8486.45,27,4604.55,7986.55,27,1.4619,risky,0.58,critical,5450.43,2660.15,8486.45,1985.19,1183.68,3546.86,630.29,544.66,0
204,Impulsive,8342.83,6406.46,0.7679,1990.92,30,1936.37,582.41,19,0.7144,risky,3.32,critical,1522.54,727.98,1990.92,722.24,309.9,1177.89,194.92,146.93,0
66,Savers,48443.52,16708.17,0.3449,5892.74,8,31735.35,1392.35,18,0.9672,caution,22.79,on_track,5892.74,1523.61,473.71,3955.57,1481.86,199.22,2450.78,1195.56,0
162,Balanced,49492.71,25468.95,0.5146,6533.8,20,24023.76,5093.79,25,0.7662,risky,4.72,critical,6533.8,2848.33,4071.93,3106.24,1813.26,1632.12,2832.9,1306.89,1323.48
109,Balanced,9276.46,4872.92,0.5253,1095.39,13,4403.54,4872.92,30,0.4691,risky,0.9,critical,1095.39,408.7,803.52,697.07,407.82,306.76,558.5,210.48,384.68
200,Balanced,14463.91,6262.87,0.433,1437.27,9,8201.04,329.62,11,0.9205,safe,24.88,on_track,1437.27,580.87,1330.98,779.43,434.91,416.56,684.4,319.04,279.41
199,Balanced,9401.92,6010.65,0.6393,1231.07,15,3391.27,1502.66,26,0.9765,risky,2.26,critical,1231.07,586.21,1047.15,781.27,464.31,485.0,565.3,285.55,564.79
237,Impulsive,53563.05,46931.94,0.8762,12241.63,28,6631.11,4693.19,20,1.1436,risky,1.41,critical,10106.58,3948.95,12241.63,4988.91,2446.24,9512.99,1307.62,1081.83,1297.19
375,At-Risk,66919.78,67281.15,1.0054,24791.96,34,-361.37,4485.41,15,1.1405,risky,-0.08,critical,13175.47,7112.03,24791.96,4007.4,2173.62,17617.5,554.3,574.99,0
287,Impulsive,9767.44,7371.49,0.7547,1769.24,30,2395.95,368.57,10,0.6457,risky,6.5,critical,1358.46,839.74,1769.24,691.12,364.03,1494.26,177.65,172.32,504.67
281,Impulsive,28718.47,23445.76,0.8164,6642.55,21,5272.71,2131.43,19,0.9737,risky,2.47,critical,4379.02,2749.57,6642.55,2117.35,947.13,4322.11,596.81,537.82,1153.4
30,Savers,47640.39,14706.59,0.3087,4995.36,11,32933.8,1050.47,16,0.4119,safe,31.35,on_track,4995.36,1498.82,396.59,3749.51,1613.99,155.16,2183.64,1063.2,0
79,Savers,36356.09,13735.33,0.3778,4245.47,12,22620.76,915.69,15,1.3797,caution,24.7,on_track,4245.47,1413.86,383.18,3275.0,1328.31,153.91,1743.16,888.23,304.21
387,At-Risk,20553.99,23795.35,1.1577,7455.24,21,-3241.36,2974.42,22,0.5158,risky,-1.09,critical,3689.49,2646.0,7455.24,1416.81,645.45,4274.15,207.92,243.9,3216.39
390,At-Risk,9606.52,11423.11,1.1891,3286.48,37,-1816.59,5711.56,28,1.0073,risky,-0.32,critical,1720.99,1416.52,3286.48,710.75,402.41,2655.14,104.08,92.42,1034.32
337,At-Risk,58780.06,57134.22,0.972,22971.53,29,1645.84,6348.25,21,0.4813,risky,0.26,critical,11716.22,7923.43,22971.53,3364.46,1896.52,11731.34,627.46,462.21,0
381,At-Risk,33655.73,31256.08,0.9287,10351.39,27,2399.65,2604.67,18,0.7177,risky,0.92,critical,5894.2,3838.93,10351.39,1808.98,1016.2,5983.15,275.64,372.73,1714.86
322,At-Risk,8759.4,9515.34,1.0863,3045.18,40,-755.94,634.36,15,0.751,risky,-1.19,critical,1900.26,1047.94,3045.18,777.72,307.15,1814.11,110.52,93.77,418.69
